target,coverage_scope,group,n_molecules,pose_realizable_count,pose_nonrealizable_count,pose_nonrealizable_percent
EGFR,all_available,all_molecules,35552,15397,20155,56.69160666066607
EGFR,all_available,all_actives,542,259,283,52.2140221402214
EGFR,all_available,all_decoys,35010,15138,19872,56.760925449871465
EGFR,all_available,gnina_top1,356,185,171,48.03370786516854
EGFR,all_available,coupled_top1,356,255,101,28.370786516853933
EGFR,all_available,late_fusion_top1,356,193,163,45.78651685393258
EGFR,all_available,actives_in_coupled_top1,89,67,22,24.719101123595507
EGFR,all_available,actives_in_late_fusion_top1,86,59,27,31.3953488372093
CDK2,all_available,all_molecules,28296,10746,17550,62.02290076335878
CDK2,all_available,all_actives,474,176,298,62.869198312236286
CDK2,all_available,all_decoys,27822,10570,17252,62.00848249586658
CDK2,all_available,gnina_top1,283,133,150,53.003533568904594
CDK2,all_available,coupled_top1,283,198,85,30.035335689045937
CDK2,all_available,late_fusion_top1,283,132,151,53.35689045936396
CDK2,all_available,actives_in_coupled_top1,71,46,25,35.2112676056338
CDK2,all_available,actives_in_late_fusion_top1,78,39,39,50.0
CDK2,complete_four_receptor,all_molecules,27926,10571,17355,62.1463868796104
CDK2,complete_four_receptor,all_actives,474,176,298,62.869198312236286
CDK2,complete_four_receptor,all_decoys,27452,10395,17057,62.133906454903105
CDK2,complete_four_receptor,gnina_top1,279,131,148,53.04659498207885
CDK2,complete_four_receptor,coupled_top1,279,196,83,29.74910394265233
CDK2,complete_four_receptor,late_fusion_top1,279,130,149,53.40501792114696
CDK2,complete_four_receptor,actives_in_coupled_top1,70,45,25,35.714285714285715
CDK2,complete_four_receptor,actives_in_late_fusion_top1,76,38,38,50.0
