target,prior_definition,excluded_native_receptor,excluded_native_ligand,roc_auc,ef1,ef5,bedroc,gnina_ef1,delta_ef1,delta_ef1_ci_lo,delta_ef1_ci_hi,bootstrap_fraction_positive,n_bootstrap
CDK2,primary_union_recall,,,0.7533570479846717,13.5002012792414,7.045417542604106,0.24843860157659026,11.390794829359931,2.109406449881469,-0.63282193496444,4.640694189739232,0.928,2000
CDK2,60pct_core_recall,,,0.7512370306472096,12.86737934427696,6.79228876861833,0.2251171585880808,11.390794829359931,1.476584514917029,-1.476584514917029,4.0078722547747905,0.7995,2000
CDK2,frequency_weighted_recall,,,0.7526932060867959,13.289260634253253,7.003229413606476,0.24165657486419528,11.390794829359931,1.8984658048933216,-1.0547032249407327,4.007872254774792,0.865,2000
CDK2,primary_union_jaccard,,,0.7519280571153508,12.86737934427696,6.834476897615959,0.24718749414878238,11.390794829359931,1.476584514917029,-1.0547032249407362,4.218812899762938,0.8365,2000
CDK2,receptor_specific_recall,,,0.7525842782341146,13.289260634253253,6.876665026613589,0.23496816630731274,11.390794829359931,1.8984658048933216,-1.0547032249407344,4.429753544751085,0.862,2000
CDK2,leave_one_native_out_union_recall,1fin_a_atp,,0.7534174455027091,13.078319989265108,7.045417542604106,0.2424071250347513,11.390794829359931,1.6875251599051762,,,,0
CDK2,leave_one_native_out_union_recall,2a4l_a_rrc,,0.7530251839072197,13.078319989265108,7.087605671601735,0.2493239261872093,11.390794829359931,1.6875251599051762,,,,0
CDK2,leave_one_native_out_union_recall,1aq1_a_stu,,0.7540618752667273,13.078319989265108,7.171981929596994,0.2534088222172327,11.390794829359931,1.6875251599051762,,,,0
CDK2,leave_one_native_out_union_recall,1pxn_a_ck6,,0.7534214644210467,13.289260634253253,6.9610412846088465,0.2480032181721763,11.390794829359931,1.8984658048933216,,,,0
CDK2,leave_one_distinct_ligand_out_union_recall,1qmz_a_atp;1fin_a_atp,ATP,0.7534174455027091,13.078319989265108,7.045417542604106,0.2424071250347513,11.390794829359931,1.6875251599051762,-1.0547032249407362,4.0078722547747905,0.8345,2000
CDK2,all_exact_overlap_natives_excluded_union_recall,2a4l_a_rrc;1aq1_a_stu,exact_DUD-E_overlap,0.7526821730185291,13.078319989265108,7.045417542604106,0.24721565832536935,11.390794829359931,1.6875251599051762,-0.6328219349644417,4.640694189739232,0.917,2000
CDK2,diagnostic_all_deposited_ligands_union_including_allosteric_ligand,,,0.7536623720353652,14.13302321420584,7.171981929596994,0.25749884509111715,11.390794829359931,2.742228384845909,,,,0
