target,term,lambda,roc_auc,ef1,ef5,bedroc,combination
EGFR,recall,0.0,0.7655570733085223,11.792197023093824,6.898816614712828,0.2084814245206872,
EGFR,recall,0.25,0.7685963736244046,12.897715494008873,7.341521424213117,0.2269073464142547,
EGFR,recall,0.5,0.7706196489985465,14.003233964923918,7.046384884546258,0.2384429966726722,
EGFR,recall,1.0,0.7730012036624222,15.477258592810646,7.0094928170879,0.2536999665594024,
EGFR,recall,1.5,0.7742194639170042,15.661511671296488,7.083276952004615,0.2621150060224559,
EGFR,recall,2.0,0.7747762631867964,15.84576474978233,7.120169019462972,0.2671649898595348,
EGFR,recall,3.0,0.77478635519003,16.951283220697377,7.083276952004615,0.272680478373138,
EGFR,tanimoto,0.0,0.7655570733085223,11.792197023093824,6.898816614712828,0.2084814245206872,
EGFR,tanimoto,0.25,0.7684859939859039,12.897715494008873,7.341521424213117,0.2271102465619902,
EGFR,tanimoto,0.5,0.7704440270623786,14.187487043409758,7.083276952004615,0.2390617781106795,
EGFR,tanimoto,1.0,0.7727810504326122,15.477258592810646,6.972600749629543,0.2546466847893134,
EGFR,tanimoto,1.5,0.7739613141632702,15.477258592810646,7.0094928170879,0.2638463754796681,
EGFR,tanimoto,2.0,0.7745552931107718,15.84576474978233,7.046384884546258,0.269042013479854,
EGFR,tanimoto,3.0,0.7746008520496516,16.39852398523985,7.15706108692133,0.2743603413437992,
EGFR,precision,0.0,0.7655570733085223,11.792197023093824,6.898816614712828,0.2084814245206872,
EGFR,precision,0.25,0.7702913822197348,11.792197023093824,6.566788007587612,0.2177370999036443,
EGFR,precision,0.5,0.7711762374693155,11.792197023093824,6.529895940129255,0.2216814093919548,
EGFR,precision,1.0,0.7700179495368219,11.976450101579667,6.677464209962684,0.2245108839073311,
EGFR,precision,1.5,0.7675130510945213,11.792197023093824,6.751248344879398,0.2250046177430653,
EGFR,precision,2.0,0.764581811627885,11.976450101579667,6.751248344879398,0.2252699308287713,
EGFR,precision,3.0,0.7586752756987725,11.976450101579667,6.714356277421041,0.2251808005364174,
EGFR,f1,0.0,0.7655570733085223,11.792197023093824,6.898816614712828,0.2084814245206872,
EGFR,f1,0.25,0.7695292647013874,12.713462415523033,7.193953154379687,0.2297250804630918,
EGFR,f1,0.5,0.7717313766968004,14.55599320038144,6.935708682171185,0.2427509772847276,
EGFR,f1,1.0,0.7737526231303444,15.661511671296488,7.046384884546258,0.2577243215454938,
EGFR,f1,1.5,0.7743409368540987,15.293005514324804,7.0094928170879,0.2657256887327956,
EGFR,f1,2.0,0.7742034695411222,16.030017828268168,7.083276952004615,0.2699336728153048,
EGFR,f1,3.0,0.7727032128933115,16.39852398523985,7.15706108692133,0.2742372069169451,
CDK2,recall,0.0,0.7615001348233359,11.60173547434808,6.876665026613589,0.2361815138347693,multiplicative
CDK2,recall,0.0,0.7615001348233359,11.60173547434808,6.876665026613589,0.2361815138347693,additive
CDK2,recall,0.0,0.7615001348233359,11.60173547434808,6.876665026613589,0.2361815138347693,rank_fusion
CDK2,recall,0.25,0.7637672218233635,14.13302321420584,6.918853155611218,0.2632655566388677,multiplicative
CDK2,recall,0.25,0.7680159009641461,14.13302321420584,6.961041284608847,0.2661707134766413,additive
CDK2,recall,0.25,0.7586771859200153,12.445498054300666,5.611021156684707,0.2202302478702382,rank_fusion
CDK2,recall,0.5,0.7650138827088541,14.97678579415843,7.045417542604106,0.268431271030894,multiplicative
CDK2,recall,0.5,0.7723252051089097,14.765845149170282,7.087605671601735,0.2678041341746409,additive
CDK2,recall,0.5,0.7480100667079781,12.023616764324371,5.315704253701302,0.208470545544998,rank_fusion
CDK2,recall,1.0,0.7665237069168163,14.97678579415843,7.2563581875922525,0.2654307216456362,multiplicative
CDK2,recall,1.0,0.7773906725303443,14.13302321420584,7.214170058594623,0.2569272959023516,additive
CDK2,recall,1.0,0.7282452538091004,12.23455740931252,5.062575479715526,0.2012145783298146,rank_fusion
CDK2,recall,1.5,0.7675352989938752,14.343963859193988,7.129793800599365,0.2620312930437862,multiplicative
CDK2,recall,1.5,0.7786596270383119,13.5002012792414,6.918853155611218,0.2477486372523195,additive
CDK2,recall,1.5,0.7128230338314062,11.60173547434808,4.76725857673212,0.1997464502253785,rank_fusion
CDK2,recall,2.0,0.7682320505249314,13.711141924229548,7.129793800599365,0.2591799354268818,multiplicative
CDK2,recall,2.0,0.777559353357556,13.5002012792414,6.70791251062307,0.2409744336033669,additive
CDK2,recall,2.0,0.7011459528582396,12.023616764324371,4.76725857673212,0.1979715356463487,rank_fusion
CDK2,recall,3.0,0.7690443649153585,13.922082569217691,7.129793800599365,0.2558657336244125,multiplicative
CDK2,recall,3.0,0.767193349706255,13.711141924229548,5.864149930670484,0.2312937018410331,additive
CDK2,recall,3.0,0.685058905210247,12.023616764324371,4.261001028760568,0.1966194431058479,rank_fusion
CDK2,tanimoto,0.0,0.7615001348233359,11.60173547434808,6.876665026613589,0.2361815138347693,multiplicative
CDK2,tanimoto,0.0,0.7615001348233359,11.60173547434808,6.876665026613589,0.2361815138347693,additive
CDK2,tanimoto,0.0,0.7615001348233359,11.60173547434808,6.876665026613589,0.2361815138347693,rank_fusion
CDK2,tanimoto,0.25,0.7631583936095255,13.711141924229548,6.876665026613589,0.2609024973797098,multiplicative
