target,scope,interaction_term,variable,spearman_rho,n_rows
CDK2,all_receptor_poses,primary_union_recall,heavy_atom_count,0.370908097534637,141480
CDK2,all_receptor_poses,primary_union_recall,molecular_weight,0.3673895592754957,141480
CDK2,all_receptor_poses,primary_union_recall,num_interactions,0.7831734391345493,141480
CDK2,best_coupled_pose_per_ligand,primary_union_recall,heavy_atom_count,0.4356328308214553,28296
CDK2,best_coupled_pose_per_ligand,primary_union_recall,molecular_weight,0.4297083487972369,28296
CDK2,best_coupled_pose_per_ligand,primary_union_recall,num_interactions,0.8043680357850261,28296
EGFR,all_receptor_poses,primary_atp_site_union_recall,heavy_atom_count,0.21827440424364553,142208
EGFR,all_receptor_poses,primary_atp_site_union_recall,molecular_weight,0.22080045069118615,142208
EGFR,all_receptor_poses,primary_atp_site_union_recall,num_interactions,0.7042468083148422,142208
EGFR,best_coupled_pose_per_ligand,primary_atp_site_union_recall,heavy_atom_count,0.23807891576684764,35552
EGFR,best_coupled_pose_per_ligand,primary_atp_site_union_recall,molecular_weight,0.24526854185476418,35552
EGFR,best_coupled_pose_per_ligand,primary_atp_site_union_recall,num_interactions,0.7182045476629962,35552
