target,excluded_receptor,n_ligands,gnina_ef1,coupled_ef1,delta_ef1,delta_ci_lo,delta_ci_hi,bootstrap_fraction_positive
EGFR,1m17_a_aq4_999,35552,11.792197023093824,15.84576474978233,4.053567726688504,2.3952900203159317,5.896098511546914,1.0
EGFR,1xkk_a_fmm_91,35552,8.659894688834529,11.607943944607984,2.948049255773455,1.1055184709150474,4.422073883660184,1.0
EGFR,4hjo_a_aq4_1001,35552,11.239437787636303,15.477258592810646,4.237820805174343,2.2110369418300917,6.264604668518595,1.0
EGFR,5cav_a_4zq_1101,35552,13.081968572494713,16.767030142211535,3.6850615697168223,1.8425307848584092,5.527592354575232,1.0
EGFR,6duk_c_jbj_1103,35552,11.976450101579667,16.030017828268168,4.053567726688501,2.211036941830093,6.264604668518597,1.0
CDK2,1aq1_a_stu,28296,10.757972894395492,10.547032249407344,-0.2109406449881472,-2.7422283848459106,1.89846580489332,0.3295
CDK2,1fin_a_atp,28296,9.49232902446661,12.656438699288811,3.1641096748222037,0.63282193496444,5.27351612470367,0.994
CDK2,1pxn_a_ck6,28296,10.96891353938364,13.5002012792414,2.5312877398577616,-0.4218812899762927,4.851634834727378,0.9445
CDK2,1qmz_a_atp,28296,11.390794829359931,14.13302321420584,2.742228384845909,0.0,5.062575479715527,0.974
CDK2,2a4l_a_rrc,28296,10.125150959431052,10.96891353938364,0.8437625799525872,-1.6875251599051762,3.1641096748222037,0.7225
