target,arm,metric,estimate,ci_lo,ci_hi
EGFR,gnina,roc_auc,0.770,0.746,0.794
EGFR,coupled,roc_auc,0.775,0.751,0.798
EGFR,gnina,ef1,11.98,9.40,14.56
EGFR,coupled,ef1,16.40,13.63,19.35
EGFR,gnina,ef5,7.01,6.27,7.78
EGFR,coupled,ef5,7.71,6.90,8.52
EGFR,gnina,bedroc_80_5,0.210,0.178,0.244
EGFR,coupled,bedroc_80_5,0.282,0.245,0.320
CDK2,gnina,roc_auc,0.761500,0.734792,0.786587
CDK2,coupled,roc_auc,0.766524,0.740105,0.791835
CDK2,gnina,ef1,11.601735,9.281388,14.343964
CDK2,coupled,ef1,14.976786,11.812676,17.508074
CDK2,gnina,ef5,6.876665,6.032902,7.678239
CDK2,coupled,ef5,7.256358,6.369353,8.057933
CDK2,gnina,bedroc_80_5,0.236182,0.199531,0.272812
CDK2,coupled,bedroc_80_5,0.265431,0.227119,0.305305
