endpoint_id,seed,feature_set,model_name,split_comparison,mae_exact_delta_b_minus_a,spearman_exact_delta_b_minus_a,censored_nll_delta_b_minus_a,nearest_neighbor_tanimoto_a,nearest_neighbor_tanimoto_b,nearest_neighbor_tanimoto_delta_b_minus_a
CYP2C19_IC50_A,1,morgan,xgboost_drop_censored,random_vs_scaffold,0.09437873676623876,-0.15132264543890922,,0.7083916083916084,0.4810126582278481,-0.2273789501637603
CYP2C19_IC50_A,1,morgan,xgboost_threshold_as_exact,random_vs_scaffold,0.11020629957567141,-0.07827671341283038,,0.7083916083916084,0.4810126582278481,-0.2273789501637603
CYP2C19_IC50_A,3,morgan,xgboost_drop_censored,random_vs_scaffold,0.04510807786506382,-0.0831765257167395,,0.6916083916083916,0.4285714285714285,-0.2630369630369631
CYP2C19_IC50_A,3,morgan,xgboost_threshold_as_exact,random_vs_scaffold,-0.005641319441682391,0.051966915190769014,,0.6916083916083916,0.4285714285714285,-0.2630369630369631
CYP2C19_IC50_A,4,morgan,xgboost_drop_censored,random_vs_scaffold,0.010553910335354577,-0.22929240880585183,,0.703915453915454,0.4691358024691358,-0.23477965144631818
CYP2C19_IC50_A,4,morgan,xgboost_threshold_as_exact,random_vs_scaffold,0.04015014645360909,-0.2420739484512109,,0.703915453915454,0.4691358024691358,-0.23477965144631818
CYP2C19_IC50_A,2,morgan,xgboost_drop_censored,random_vs_scaffold,0.07595758494055327,-0.21051120914883786,,0.7333846830985915,0.4880952380952381,-0.24528944500335342
CYP2C19_IC50_A,2,morgan,xgboost_threshold_as_exact,random_vs_scaffold,0.07618196341115491,-0.19677030045804256,,0.7333846830985915,0.4880952380952381,-0.24528944500335342
CYP2C19_IC50_A,0,morgan,xgboost_drop_censored,random_vs_scaffold,0.11319720810775191,-0.2420384639025664,,0.71875,0.4827586206896552,-0.2359913793103448
CYP2C19_IC50_A,0,morgan,xgboost_threshold_as_exact,random_vs_scaffold,0.0834187808134379,-0.1707619278331824,,0.71875,0.4827586206896552,-0.2359913793103448
CYP1A2_IC50_A,3,morgan,xgboost_drop_censored,random_vs_scaffold,0.050328414848964664,-0.20853294894395957,,0.7192982456140351,0.5510204081632653,-0.16827783745076985
CYP1A2_IC50_A,3,morgan,xgboost_threshold_as_exact,random_vs_scaffold,0.10893285658379043,-0.1992747323405607,,0.7192982456140351,0.5510204081632653,-0.16827783745076985
CYP1A2_IC50_A,1,morgan,xgboost_drop_censored,random_vs_scaffold,0.03208351587850489,-0.05491858515205439,,0.7123287671232876,0.5185185185185185,-0.19381024860476914
CYP1A2_IC50_A,1,morgan,xgboost_threshold_as_exact,random_vs_scaffold,0.053305788621412775,-0.09410918739822627,,0.7123287671232876,0.5185185185185185,-0.19381024860476914
CYP1A2_IC50_A,2,morgan,xgboost_drop_censored,random_vs_scaffold,0.12843633015795713,-0.07533867873935418,,0.7142857142857143,0.5357142857142857,-0.1785714285714286
CYP1A2_IC50_A,2,morgan,xgboost_threshold_as_exact,random_vs_scaffold,0.12592582723774376,-0.071168536509849,,0.7142857142857143,0.5357142857142857,-0.1785714285714286
CYP1A2_IC50_A,4,morgan,xgboost_drop_censored,random_vs_scaffold,0.07739916122044072,-0.026498666967551765,,0.7285714285714285,0.5487804878048781,-0.17979094076655044
CYP1A2_IC50_A,4,morgan,xgboost_threshold_as_exact,random_vs_scaffold,0.08261480364805812,-0.03430059818293685,,0.7285714285714285,0.5487804878048781,-0.17979094076655044
CYP1A2_IC50_A,0,morgan,xgboost_drop_censored,random_vs_scaffold,0.011212379961624885,-0.07642650261082506,,0.7321428571428571,0.5483870967741935,-0.1837557603686636
CYP1A2_IC50_A,0,morgan,xgboost_threshold_as_exact,random_vs_scaffold,0.05177594590276258,-0.10040344330908946,,0.7321428571428571,0.5483870967741935,-0.1837557603686636
CYP2C9_IC50_A,1,morgan,xgboost_drop_censored,random_vs_scaffold,0.08441837236315275,-0.12889832585449174,,0.7022727272727273,0.54192037470726,-0.16035235256546732
CYP2C9_IC50_A,1,morgan,xgboost_threshold_as_exact,random_vs_scaffold,0.022682609873518278,-0.06877778650936056,,0.7022727272727273,0.54192037470726,-0.16035235256546732
CYP2C9_IC50_A,2,morgan,xgboost_drop_censored,random_vs_scaffold,-0.04190775598269364,-0.018346193215280304,,0.7215384615384615,0.5656019656019655,-0.15593649593649594
CYP2C9_IC50_A,2,morgan,xgboost_threshold_as_exact,random_vs_scaffold,-0.01237954909185729,-0.1331449338415216,,0.7215384615384615,0.5656019656019655,-0.15593649593649594
CYP2C9_IC50_A,4,morgan,xgboost_drop_censored,random_vs_scaffold,0.03973670968451931,-0.06212328420470431,,0.7180706521739131,0.5625,-0.15557065217391308
CYP2C9_IC50_A,4,morgan,xgboost_threshold_as_exact,random_vs_scaffold,0.05681341475185958,-0.07989873878440201,,0.7180706521739131,0.5625,-0.15557065217391308
